user_id,date,day_of_week,total_productive_time,total_distracting_time,focus_today,peak_productive_hour,session_avg,productive_ratio,switch_frequency,avg_session_duration,next_day_focus,prev_day_switch,prev_day_ratio
1,2024-01-02,Tuesday,5.771133908674528,4.1892503636461695,0.20350149625574704,17,61.48538589793427,0.5736494504044686,25,44.69926038510866,0.1670913616410175,23.0,0.6001505780526734
1,2024-01-03,Wednesday,4.801174864688565,3.7861195008522013,0.1670913616410175,21,77.11055768358082,0.5526663035309386,20,29.310853617212167,0.24937383871755722,25.0,0.5736494504044686
1,2024-01-04,Thursday,5.123982722038887,3.561863862576358,0.24937383871755722,16,33.90309557911677,0.5832087634003775,23,47.21230154351119,0.22044443014962872,20.0,0.5526663035309386
1,2024-01-05,Friday,6.288529356132411,2.7257568428831913,0.22044443014962872,19,59.71061460667621,0.6899639992445717,19,47.330540753018326,0.35723805621192006,23.0,0.5832087634003775
1,2024-01-06,Saturday,6.09064131560327,1.372468052624024,0.35723805621192006,20,88.17507766587352,0.8053091683679893,14,42.70801311279966,0.236911085440611,19.0,0.6899639992445717
1,2024-01-07,Sunday,5.419866881982573,1.6136804440672263,0.236911085440611,15,51.40519960161536,0.7597716303346969,22,41.58768529556319,0.37072581713619646,14.0,0.8053091683679893
1,2024-01-08,Monday,6.27172831115724,2.709496025185926,0.37072581713619646,16,76.33468615779944,0.6906258538353369,5,20.625456269647756,0.37820046246179895,22.0,0.7597716303346969
1,2024-01-09,Tuesday,7.377235598653547,3.800832999506353,0.37820046246179895,17,36.95214357150778,0.6541222492526068,9,57.05203514053396,0.2750553275147074,5.0,0.6906258538353369
1,2024-01-10,Wednesday,6.033627612001906,2.814341023336183,0.2750553275147074,12,73.77637070028385,0.6743013814524766,27,46.75365010654429,0.33673264736775754,9.0,0.6541222492526068
1,2024-01-11,Thursday,5.062391433543348,2.9241962549718146,0.33673264736775754,12,63.67663185416978,0.6260231915537282,18,53.95655297064336,0.31786262515509495,27.0,0.6743013814524766
1,2024-01-12,Friday,3.7271854853812862,3.821902504375224,0.31786262515509495,10,31.885751141204054,0.4872718800427778,14,37.5734600746308,0.29020451922079865,18.0,0.6260231915537282
1,2024-01-13,Saturday,7.174982991246222,3.01900033106215,0.29020451922079865,18,42.183673484086164,0.6970074427551404,27,44.17669517111269,0.3040377923679354,14.0,0.4872718800427778
1,2024-01-14,Sunday,6.865799388215915,3.3609233775911354,0.3040377923679354,16,36.329655589816234,0.6648575297236947,14,52.32481518257668,0.20399823447784188,27.0,0.6970074427551404
1,2024-01-15,Monday,7.178792459471444,2.790307563163002,0.20399823447784188,14,84.40970649274524,0.7129527408938389,27,55.84365199693973,0.281989283882303,14.0,0.6648575297236947
